"Source:","C:\Users\Digital-Sqrt\Documents\Git_Hub\Low Cost MOSFET\MOSTERFET.sch"
"Date:","3/16/2019 6:29:26 PM"
"Tool:","Eeschema (5.0.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","CPN","Manufacturer","Manufacturer Number","Parts Per Reel","Supplier","Supplier Link","Supplier Part No"
"","","C1","10000pF","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B103KBANNND.jsp","0805 10000pF Ceramic 50V Cap","Samsung Electro-Mechanics","CL21B103KBANNND","","Digi-Key","https://www.digikey.com/products/en?keywords=CL21B103KBANNND-ND","CL21B103KBANNND-ND"
"","","CN1","Jumper_NC_Small","conn:CONN_01X02","Connectors_JST:JST_NV_B02P-NV_2x5.00mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","5mm Screw Termainal PCB","Phoenix Contact","1935161","","Digi-Key","https://www.digikey.com/products/en?keywords=277-1667-ND","277-1667-ND"
"","","D1","15V","MyComp:D_Zener_Single_SOT_3pin","TO_SOT_Packages_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BZX84C2V4LT1-D.PDF","","ON Semiconductor","BZX84C15LT3G","BZX84C15","Digi-Key","https://www.digikey.com/product-detail/en/on-semiconductor/BZX84C15LT3G/BZX84C15LT3GOSTR-ND/1476313","BZX84C15LT3GOSTR-ND"
"","","D3","~","Device:LED_Small_ALT","LEDs:LED_0805_HandSoldering","http://www.qt-brightek.com/datasheet/QBLP631_series.pdf","LED 0805 white","QT Brightek (QTB)","QBLP631-IW","","Digi-Key","https://www.digikey.com/products/en?keywords=1516-1085-2-ND","1516-1085-2-ND"
"","","H1","M3 Clearance Hole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","",""
"","","H2","M3 Clearance Hole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","",""
"","","H3","M3 Clearance Hole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","",""
"","","H4","M3 Clearance Hole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","",""
"","","J1","XT-60","conn:CONN_01X02","MyLib:XT60","","XT-60","SparkFun","XT-60","","SparkFun","https://www.sparkfun.com/products/10474","PRT-10474"
"","","J2","XT-60","conn:CONN_01X02","MyLib:XT60","","XT-60","SparkFun","XT-60","","SparkFun","https://www.sparkfun.com/products/10474","PRT-10474"
"","","Q1","AUIRFSA8409-7P","MyComp:Q_NMOS_GSSSSSD","MyLib:TO-263-6-HeatSunk","https://www.infineon.com/dgdl/auirfsa8409-7P.pdf?fileId=5546d462533600a4015355b9bf8114fb","IRFS7430-7PPbF","Infineon Technologies","AUIRFSA8409-7P","","Digi-Key","https://www.digikey.com/products/en?keywords=AUIRFSA8409-7P-ND","AUIRFSA8409-7P-ND"
"","","R1","1.0K","Device:R","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Yageo","RC1206FR-071KL","","Digi-Key","http://www.digikey.com/product-detail/en/yageo/RC1206FR-071KL/311-1.00KFRCT-ND/731334","311-1.00KFRCT-ND"
"","","R3","1.99K","Device:R","Resistors_SMD:R_1210_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Stackpole Electronics Inc.","RMCF1210JT2K00","","Digi-Key","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF1210JT2K00/RMCF1210JT2K00TR-ND/1757288","RMCF1210JT2K00TR-ND"
"","","R5","3.6K","Device:R","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Yageo","RC1206FR-073K6L","","Digi-Key","http://www.digikey.com/products/en?keywords=311-3.60KFRCT-ND","311-3.60KFRCT-ND"
"","","U1","TLP182","MyComp:TLP182","MyLib:OP_Hybrid","https://toshiba.semicon-storage.com/info/docget.jsp?did=14414&prodName=TLP182","TLP290GB","Toshiba","TLP182(BL-TPL,E","","Digi-Key","https://www.digikey.com/products/en?keywords=TLP182(BL-TPLECT-ND","TLP182(BL-TPLECT-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","CPN","Manufacturer","Manufacturer Number","Parts Per Reel","Supplier","Supplier Link","Supplier Part No"
"1","1","C1","10000pF","Device:C_Small","Capacitors_SMD:C_0805_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B103KBANNND.jsp","0805 10000pF Ceramic 50V Cap","Samsung Electro-Mechanics","CL21B103KBANNND","","Digi-Key","https://www.digikey.com/products/en?keywords=CL21B103KBANNND-ND","CL21B103KBANNND-ND"
"2","1","CN1","Jumper_NC_Small","conn:CONN_01X02","Connectors_JST:JST_NV_B02P-NV_2x5.00mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","5mm Screw Termainal PCB","Phoenix Contact","1935161","","Digi-Key","https://www.digikey.com/products/en?keywords=277-1667-ND","277-1667-ND"
"3","1","D1","15V","MyComp:D_Zener_Single_SOT_3pin","TO_SOT_Packages_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BZX84C2V4LT1-D.PDF","","ON Semiconductor","BZX84C15LT3G","BZX84C15","Digi-Key","https://www.digikey.com/product-detail/en/on-semiconductor/BZX84C15LT3G/BZX84C15LT3GOSTR-ND/1476313","BZX84C15LT3GOSTR-ND"
"4","1","D3","~","Device:LED_Small_ALT","LEDs:LED_0805_HandSoldering","http://www.qt-brightek.com/datasheet/QBLP631_series.pdf","LED 0805 white","QT Brightek (QTB)","QBLP631-IW","","Digi-Key","https://www.digikey.com/products/en?keywords=1516-1085-2-ND","1516-1085-2-ND"
"5","4","H1, H2, H3, H4","M3 Clearance Hole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","~","","","","","","",""
"6","2","J1, J2","XT-60","conn:CONN_01X02","MyLib:XT60","","XT-60","SparkFun","XT-60","","SparkFun","https://www.sparkfun.com/products/10474","PRT-10474"
"7","1","Q1","AUIRFSA8409-7P","MyComp:Q_NMOS_GSSSSSD","MyLib:TO-263-6-HeatSunk","https://www.infineon.com/dgdl/auirfsa8409-7P.pdf?fileId=5546d462533600a4015355b9bf8114fb","IRFS7430-7PPbF","Infineon Technologies","AUIRFSA8409-7P","","Digi-Key","https://www.digikey.com/products/en?keywords=AUIRFSA8409-7P-ND","AUIRFSA8409-7P-ND"
"8","1","R1","1.0K","Device:R","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Yageo","RC1206FR-071KL","","Digi-Key","http://www.digikey.com/product-detail/en/yageo/RC1206FR-071KL/311-1.00KFRCT-ND/731334","311-1.00KFRCT-ND"
"9","1","R3","1.99K","Device:R","Resistors_SMD:R_1210_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Stackpole Electronics Inc.","RMCF1210JT2K00","","Digi-Key","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF1210JT2K00/RMCF1210JT2K00TR-ND/1757288","RMCF1210JT2K00TR-ND"
"10","1","R5","3.6K","Device:R","Resistors_SMD:R_1206_HandSoldering","http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_4.pdf","","Yageo","RC1206FR-073K6L","","Digi-Key","http://www.digikey.com/products/en?keywords=311-3.60KFRCT-ND","311-3.60KFRCT-ND"
"11","1","U1","TLP182","MyComp:TLP182","MyLib:OP_Hybrid","https://toshiba.semicon-storage.com/info/docget.jsp?did=14414&prodName=TLP182","TLP290GB","Toshiba","TLP182(BL-TPL,E","","Digi-Key","https://www.digikey.com/products/en?keywords=TLP182(BL-TPLECT-ND","TLP182(BL-TPLECT-ND"
